Keyword,Average Salary,Example URLs
digital,1852.5223277074542,"https://www.upwork.com/jobs/Digital-Marketing-Sales-Closing-Specialist_%7E01946e98006f7b3675?source=rss, https://www.upwork.com/jobs/Project-Manager-Digital-Marketing-Market-Plan_%7E0155948eff6c6ff94d?source=rss, https://www.upwork.com/jobs/Digital-Marketing-Specialist-for-Nutraceuticals_%7E016cb571563f66b206?source=rss"
sales,1832.1284369114878,"https://www.upwork.com/jobs/Digital-Marketing-Sales-Closing-Specialist_%7E01946e98006f7b3675?source=rss, https://www.upwork.com/jobs/HubSpot-Implementation-amp-Setup-For-Sales-Team_%7E013144f4a663ad4ac9?source=rss, https://www.upwork.com/jobs/eBay-Dropshipping-store-management-and-general-more-sales_%7E01c3c5c67f721c9155?source=rss"
full,1196.328125,"https://www.upwork.com/jobs/Full-Stack-Developer_%7E011604a02b364315a8?source=rss, https://www.upwork.com/jobs/Web3-Full-stack-Developer_%7E016de8daf913b57784?source=rss, https://www.upwork.com/jobs/Full-stack-Developer_%7E0184ab32ce5e0dc79c?source=rss"
job,1146.0748540450375,"https://www.upwork.com/jobs/Create-job-offers-human-resources_%7E0152760891a70bd893?source=rss, https://www.upwork.com/jobs/Part-time-Online-Job_%7E01ceea688ceb9c7148?source=rss, https://www.upwork.com/jobs/Entry-level-admin-assistant-job_%7E0185e99ee22447803a?source=rss"
account,963.9453630481668,"https://www.upwork.com/jobs/Professional-Debt-Collection-amp-Accounts-Receivables-Industry_%7E011525a5854bf3b5b4?source=rss, https://www.upwork.com/jobs/Mailchimp-Account-Manager_%7E0120ba2eddde3d889b?source=rss, https://www.upwork.com/jobs/Google-Ads-Account-Manager_%7E011ae7d96a931c2bfc?source=rss"
stack,905.407965970611,"https://www.upwork.com/jobs/Full-Stack-Developer_%7E011604a02b364315a8?source=rss, https://www.upwork.com/jobs/Web3-Full-stack-Developer_%7E016de8daf913b57784?source=rss, https://www.upwork.com/jobs/Full-stack-Developer_%7E0184ab32ce5e0dc79c?source=rss"
development,869.1904960748288,"https://www.upwork.com/jobs/Transport-Transport-planning-Capacity-development-Engineer-based-Central-West-Asia_%7E01cedb9fc79fd8aac5?source=rss, https://www.upwork.com/jobs/Website-Development-for-Security-Products_%7E0141ed269bdcc88075?source=rss, https://www.upwork.com/jobs/KESHAH-App-Development_%7E01fc682f1c130f1603?source=rss"
build,800.3673621460507,"https://www.upwork.com/jobs/Build-standalone-Python-app-that-records-system-audio-MacOS_%7E011848ed9a27097031?source=rss, https://www.upwork.com/jobs/Finish-Building-WooCommerce-Website_%7E01838a16585ffb43ed?source=rss, https://www.upwork.com/jobs/Build-for-Mobile-App_%7E01e9cfbf3c7003f76b?source=rss"
application,764.5151869158879,"https://www.upwork.com/jobs/Flutter-application_%7E01f37061c511db7da0?source=rss, https://www.upwork.com/jobs/How-make-users-force-update-the-mobile-application-because-our-backend-changing_%7E01ee8183c3ff65e1fe?source=rss, https://www.upwork.com/jobs/Freelance-GIS-Analyst-for-Computer-Aided-Dispatch-Software-Applications_%7E015a3bdf646a25bed2?source=rss"
seeking,701.930361675127,"https://www.upwork.com/jobs/Seeking-Creative-Video-Editor-for-Learning-Courses-Social-Media-and-Animation-Projects_%7E010a885fc1a6f0adbe?source=rss, https://www.upwork.com/jobs/Seeking-Expert-Web-Developer-for-Facial-Recognition-Image-Recognition-and-Integration-Project_%7E015e7decb287174dbb?source=rss, https://www.upwork.com/jobs/Seeking-Native-Russian-and-English-Music-Producers-for-Groundbreaking-Music-Project_%7E010e6abbfdcde745f7?source=rss"
new,647.5994790374597,"https://www.upwork.com/jobs/Create-new-website-amp-Migrate-existing-new-hosting_%7E01eb94a1845c875a8f?source=rss, https://www.upwork.com/jobs/Provide-Traffic-amp-New-Users-Telgram-channel-for-New-Hyper-Profitable-Crypto-Launch_%7E012c92941626b91608?source=rss, https://www.upwork.com/jobs/Legal-Counsel-Intellectual-Property-Law-New-York_%7E0107ce5ad0a0fd77a3?source=rss"
engineer,602.7117937635072,"https://www.upwork.com/jobs/Data-Engineer_%7E015c34d1bcadde8702?source=rss, https://www.upwork.com/jobs/Mechanical-Engineer-Model-Planetary-Gear-Mixer_%7E0147265bb849e4f697?source=rss, https://www.upwork.com/jobs/Transport-Transport-planning-Capacity-development-Engineer-based-Central-West-Asia_%7E01cedb9fc79fd8aac5?source=rss"
mobile,585.008872651357,"https://www.upwork.com/jobs/Full-Stack-Mobile-Developer-for-React-Native-amp-Backend-for-Social-App_%7E01d3c3967c840e93dd?source=rss, https://www.upwork.com/jobs/Build-for-Mobile-App_%7E01e9cfbf3c7003f76b?source=rss, https://www.upwork.com/jobs/Need-Designer-for-Website-and-Mobile-app_%7E01d597a1414be12c4f?source=rss"
developer,566.0161132214189,"https://www.upwork.com/jobs/Full-Stack-Developer_%7E011604a02b364315a8?source=rss, https://www.upwork.com/jobs/PHP-HTML-CSS-WordPress-Developer-Needed-for-Website-Transformation_%7E01d53716ab39fc98c5?source=rss, https://www.upwork.com/jobs/Web3-Full-stack-Developer_%7E016de8daf913b57784?source=rss"
amazon,560.8403590944574,"https://www.upwork.com/jobs/Amazon-store-front_%7E0147aa7586b01cfe9c?source=rss, https://www.upwork.com/jobs/Need-ppc-expert-for-product-amazon_%7E01b1fffce298766e21?source=rss, https://www.upwork.com/jobs/Amazon-specialist-needed-for-Listing-Optimization-and-PPC_%7E01038e8da24fc1c6a4?source=rss"
manager,534.9485808015975,"https://www.upwork.com/jobs/Located-Manager_%7E0129eb6d02bcf83e15?source=rss, https://www.upwork.com/jobs/Expert-Facebook-Google-Ads-Manager-for-Attorney-Clients-with-GoHighLevel-Experience-LONG-TERM_%7E019354db36310c4083?source=rss, https://www.upwork.com/jobs/Social-Media-Content-Manager-for-Real-Estate_%7E01fa9bae3b20b01b59?source=rss"
app,524.0492540295724,"https://www.upwork.com/jobs/SMMA-Bubble-App_%7E0166a7749b263ff2e0?source=rss, https://www.upwork.com/jobs/Build-standalone-Python-app-that-records-system-audio-MacOS_%7E011848ed9a27097031?source=rss, https://www.upwork.com/jobs/Looking-for-appointment-setter-who-knows-social-media-marketing-amp-virtual-assistant-services_%7E019b2b4045bc0e6736?source=rss"
software,500.79610951008647,"https://www.upwork.com/jobs/are-looking-for-Software-developer-for-our-project_%7E0113fac20b54c1ce9c?source=rss, https://www.upwork.com/jobs/Experienced-Hebrew-Speaking-Copywriter-create-advertising-text-for-Cloud-Inventory-Software_%7E011fc8b24e278808fb?source=rss, https://www.upwork.com/jobs/30min-Interview-with-Directors-about-Software-Purchasing-Process-Research_%7E01762cc38132e51546?source=rss"
custom,492.29814487632507,"https://www.upwork.com/jobs/Customer-Service_%7E01a1114f586df98343?source=rss, https://www.upwork.com/jobs/B2B-Customer-Satisfaction-Researcher_%7E019b200e7363cacfad?source=rss, https://www.upwork.com/jobs/Shopify-Developer-Needed-for-Custom-Product-Options-Dawn-Theme_%7E0149ba0147033ec2b2?source=rss"
company,484.1985855410867,"https://www.upwork.com/jobs/need-logo-designer-who-can-create-simple-minimalist-design-for-company_%7E01697a3a823be1bd29?source=rss, https://www.upwork.com/jobs/Social-Media-Designer-for-Incense-Perfume-and-Sprays-Company_%7E0145cc19bb4705899f?source=rss, https://www.upwork.com/jobs/Logo-Design-for-Drone-Company_%7E01abfc9050c8a8db12?source=rss"
work,467.8298134098831,"https://www.upwork.com/jobs/Technical-Fashion-Designer-with-Skills-for-Long-Term-Work_%7E016b117dd4d7a7cf03?source=rss, https://www.upwork.com/jobs/URGENT-Fix-Emails-Not-Working-Discourse-Installation_%7E0105071d7c0022c291?source=rss, https://www.upwork.com/jobs/Solidworks-tutors_%7E011beaac8d8fdbe3ac?source=rss"
ai,463.14779453885814,"https://www.upwork.com/jobs/URGENT-Fix-Emails-Not-Working-Discourse-Installation_%7E0105071d7c0022c291?source=rss, https://www.upwork.com/jobs/Cold-Email-Copy-Expert_%7E01fea28ea7f9face38?source=rss, https://www.upwork.com/jobs/Lead-Generation-Specialist-for-amp-Tech-Consulting-Firms_%7E0126bd46d01a33e471?source=rss"
generation,462.51121562952244,"https://www.upwork.com/jobs/Lead-Generation-Specialist-for-amp-Tech-Consulting-Firms_%7E0126bd46d01a33e471?source=rss, https://www.upwork.com/jobs/B2B-Marketing-Lead-Generation_%7E01440de54513cd1b03?source=rss, https://www.upwork.com/jobs/Media-Buyer-for-Real-Estate-Lead-Generation_%7E0128ac35f034148136?source=rss"
specialist,453.3866579606051,"https://www.upwork.com/jobs/Digital-Marketing-Sales-Closing-Specialist_%7E01946e98006f7b3675?source=rss, https://www.upwork.com/jobs/Lead-Generation-Specialist-for-amp-Tech-Consulting-Firms_%7E0126bd46d01a33e471?source=rss, https://www.upwork.com/jobs/Dental-Credentialing-Specialist_%7E0123c33f6b6e280451?source=rss"
amp,419.0676801332778,"https://www.upwork.com/jobs/Professional-Debt-Collection-amp-Accounts-Receivables-Industry_%7E011525a5854bf3b5b4?source=rss, https://www.upwork.com/jobs/Create-new-website-amp-Migrate-existing-new-hosting_%7E01eb94a1845c875a8f?source=rss, https://www.upwork.com/jobs/HubSpot-Implementation-amp-Setup-For-Sales-Team_%7E013144f4a663ad4ac9?source=rss"
